ID_OSM,Tên đường,Loại đường,Bề mặt,Số làn,Độ cao trung bình (m),Ghi chú độ cao,One way,Tốc độ tối đa
way/32583443,Hẻm 78 Nguyễn Văn Khối,residential,asphalt,2,14.23,13 samples,,
way/32583875,Hẻm 208 Đường Số 9,residential,,,15.5,4 samples,,
way/32583994,Hẻm 140 Lê Đức Thọ,residential,asphalt,2,14.25,4 samples,,
way/32584104,Hẻm 280 Nguyễn Văn Khối,residential,,,9.0,2 samples,,
way/32584298,Hẻm 108 Đường số 19,residential,,,11.0,2 samples,,
way/32584390,Quang Trung,primary,asphalt,2,16.67,9 samples,yes,
way/32584859,Hẻm 496/63 Dương Quảng Hàm,residential,,,4.73,15 samples,,
way/32584866,Nguyễn Văn Lượng,tertiary,asphalt,4,9.8,10 samples,,
way/32585011,Hẻm 54 Đường số 21,residential,asphalt,2,12.58,12 samples,,
way/32585015,Đường số 21,residential,asphalt,2,12.0,12 samples,no,
way/32585047,Đường số 19,residential,asphalt,2,12.6,10 samples,,
way/32585240,Lê Văn Thọ,secondary,asphalt,2,14.33,3 samples,,
way/32585245,Nguyễn Du,residential,asphalt,,17.14,7 samples,,
way/32585386,Hẻm 209 Nguyễn Văn Lượng,residential,,,15.0,2 samples,,
way/32585512,Hẻm 380 Đường Nguyễn Văn Khối,residential,asphalt,,9.88,8 samples,,
way/32585770,Đường số 8,tertiary,asphalt,2,14.0,9 samples,,
way/32585777,Hẻm 32 Lê Thị Hồng,residential,,,16.0,4 samples,,
way/32586057,Hẻm 307 Đường Số 10,residential,,,12.1,10 samples,,
way/32586310,Hẻm 38 Lê Hoàng Phái,residential,asphalt,,15.44,9 samples,,
way/32586359,Trần Thị Nghỉ,residential,asphalt,,15.0,3 samples,,50
way/32586587,Hẻm 145/51 Lê Đức Thọ,residential,,,18.0,2 samples,,
way/32586606,Hẻm 88 Đường số 2,residential,,,14.0,3 samples,,
way/32586930,Hẻm 656 Quang Trung,residential,asphalt,,15.09,11 samples,,
way/32586933,Không tên,residential,,,15.0,3 samples,,
way/32586938,Hẻm 618/61 Quang Trung,residential,,,14.88,8 samples,,
way/32586942,Không tên,residential,asphalt,,15.5,6 samples,,
way/32587044,Lê Văn Thọ,secondary,asphalt,2,13.75,8 samples,,
way/32587256,Không tên,residential,asphalt,,15.0,3 samples,,
way/32587769,Hẻm 209 Nguyễn Văn Lượng,residential,,,13.29,7 samples,,
way/32641760,Thống Nhất,secondary,asphalt,2,14.89,9 samples,,
way/32928927,Lê Đức Thọ,secondary,asphalt,2,4.5,2 samples,yes,
way/33285471,Cầu vượt Quang Trung 1,primary,asphalt,2,9.67,6 samples,yes,
way/33285489,Quang Trung,primary,asphalt,2,10.6,10 samples,yes,
way/72463671,Hẻm 279 Nguyễn Văn Lượng,residential,asphalt,,16.42,12 samples,,
way/72463672,Hẻm 340 Quang Trung,residential,asphalt,,17.2,5 samples,,
way/120276781,Phan Văn Trị,secondary,asphalt,2,15.62,8 samples,yes,
way/125449048,Hẻm 1/15 Nguyễn Thái Sơn,residential,,,17.0,2 samples,,
way/125449051,Hẻm 1/19 Nguyễn Thái Sơn,residential,,,16.5,2 samples,,
way/125449065,Hẻm 1/11 Nguyễn Thái Sơn,residential,,,17.0,2 samples,,
way/125449074,Hẻm 1 Nguyễn Thái Sơn,residential,asphalt,,18.17,12 samples,,
way/127163962,Đường Số 6,residential,asphalt,,16.93,14 samples,,
way/211064316,Cầu vượt Quang Trung 2,primary,asphalt,2,10.5,6 samples,yes,
way/211064628,Cầu vượt Quang Trung 2,primary,asphalt,2,10.0,2 samples,yes,
way/211068082,Cầu vượt Quang Trung 2,primary,asphalt,2,9.5,4 samples,yes,
way/211081624,Quang Trung,primary,asphalt,2,7.86,7 samples,yes,
way/211081657,Quang Trung,primary,asphalt,2,7.88,8 samples,yes,
way/211421621,Cầu vượt Quang Trung 1,primary,asphalt,2,10.0,10 samples,yes,
way/215350719,Lê Văn Thọ,secondary,asphalt,2,11.77,13 samples,,
way/217609237,Quang Trung,primary,asphalt,2,11.6,10 samples,yes,
way/217609238,Quang Trung,primary,asphalt,2,13.33,3 samples,yes,
way/217609239,Quang Trung,primary,asphalt,2,10.67,12 samples,yes,
way/217609306,Không tên,primary_link,asphalt,,16.0,2 samples,,
way/218850449,Hẻm 24 Lê Thị Hồng,residential,,,16.33,3 samples,,
way/218850623,Không tên,primary_link,asphalt,2,14.0,2 samples,yes,
way/218850624,Không tên,primary_link,asphalt,1,17.0,6 samples,yes,
way/226512044,Không tên,primary_link,asphalt,,14.0,2 samples,,
way/226512045,Không tên,primary_link,asphalt,,16.0,2 samples,,
way/226512046,Không tên,primary_link,asphalt,2,16.0,2 samples,,
way/226512570,Hẻm 679 Quang Trung,residential,,,18.5,6 samples,yes,
way/226512571,Không tên,primary_link,,,16.0,2 samples,,
way/226512572,Hẻm 681 Quang Trung,residential,,,16.4,5 samples,yes,
way/226513023,Không tên,primary_link,,,15.0,2 samples,,
way/227738147,Nguyễn Thái Sơn,secondary,asphalt,2,16.33,9 samples,yes,
way/227738349,Không tên,primary_link,asphalt,1,14.0,9 samples,yes,
way/227738744,Đường số 17,residential,,,17.56,9 samples,,
way/227738794,Hẻm 653 Quang Trung,residential,,,18.5,4 samples,,
way/228016616,Hẻm 1358 Quang Trung,residential,,,5.56,9 samples,,
way/239383277,Hẻm 998 Quang Trung,residential,asphalt,,12.43,7 samples,,
way/239383279,Hẻm 184 Nguyễn Văn Khối,residential,,,13.0,3 samples,,
way/239383280,Hẻm 872 Quang Trung,residential,asphalt,,14.4,15 samples,,
way/239383281,Hẻm 22 Đường số 21,residential,asphalt,1,12.75,8 samples,,
way/239383594,Hẻm 162 Đường số 10,residential,,,14.4,5 samples,,
way/239383595,Hẻm 162 Nguyễn Văn Khối,residential,,,12.33,6 samples,,
way/239383596,Hẻm 152 Nguyễn Văn Khối,residential,,,12.43,7 samples,,
way/239383597,Hẻm 108/1 Nguyễn Văn Khối,residential,,,13.25,4 samples,,
way/239383996,Hẻm 248 Nguyễn Văn Khối,residential,,,10.75,8 samples,,
way/239383998,Hẻm 252/62 Phạm Văn Chiêu,residential,,,10.0,5 samples,,
way/239386627,Hẻm 401 Nguyễn Văn Khối,residential,asphalt,,12.14,7 samples,,
way/239386629,Hẻm 183/46 Nguyễn Văn Khối,residential,,,14.0,3 samples,,
way/239386633,Hẻm 54/26 Đường số 21,residential,,,13.0,2 samples,,
way/239386634,Hẻm 209 Nguyễn Văn Khối,residential,asphalt,1,13.8,5 samples,,40
way/239386636,Hẻm 183/26 Nguyễn Văn Khối,residential,,,14.0,3 samples,,
way/239386637,Hẻm 183/36 Nguyễn Văn Khối,residential,,,14.0,3 samples,,
way/239386638,Hẻm 183 Nguyễn Văn Khối,residential,,,13.86,7 samples,,
way/240901844,Quang Trung,residential,,,7.0,6 samples,,
way/240901845,Quang Trung,residential,,,5.33,3 samples,,
way/240901847,Hẻm 965/16 Quang Trung,residential,,,5.5,6 samples,,
way/240901850,Hẻm 965/36 Quang Trung,residential,,,6.0,3 samples,,
way/240901892,Hẻm 965/16/23 Quang Trung,residential,,,4.75,4 samples,,
way/241064569,Hẻm 685 Quang Trung,residential,,,14.25,4 samples,,
way/241064689,Không tên,residential,,,16.0,5 samples,,
way/241065422,Hẻm 50 Đường Quang Trung,residential,asphalt,2,16.8,5 samples,,
way/241065423,Hẻm 82 Quang Trung,residential,asphalt,2,16.75,4 samples,,
way/241065504,Hẻm 50/8 Đường Quang Trung,residential,,,18.0,2 samples,,
way/241065506,Hẻm 41/29 Đường Nguyễn Oanh,residential,,,17.0,2 samples,,
way/260779464,Lê Đức Thọ,tertiary,asphalt,2,15.11,9 samples,,
way/262963871,Hẻm 128 Đường số 19,residential,,,10.33,3 samples,,
way/262963872,Hẻm 153/48 Lê Văn Thọ,residential,,,9.57,14 samples,,
way/299949346,Hẻm 16 Đường số 18,residential,asphalt,2,14.2,5 samples,,
way/302287153,Hẻm 129 Đường số 2,residential,,,11.0,9 samples,,
way/305433903,Đường số 4,residential,asphalt,2,12.0,3 samples,,
way/305433904,Hẻm 32 Phạm Huy Thông,residential,,,14.0,4 samples,,
way/305433905,Hẻm 32/3 Phạm Huy Thông,residential,,,12.0,2 samples,,
way/305433906,Hẻm 2 Lê Đức Thọ,residential,asphalt,2,16.5,2 samples,,
way/305433907,Hẻm 62 Phạm Huy Thông,residential,,,11.75,4 samples,,
way/305433909,Hẻm 40 Lê Đức Thọ,residential,asphalt,2,13.0,5 samples,,
way/307745724,Đường Số 5,residential,asphalt,2,7.45,11 samples,,
way/307745725,Nguyễn Oanh,primary,asphalt,2,10.67,9 samples,yes,
way/308616239,Phạm Huy Thông,residential,asphalt,2,14.2,15 samples,yes,
way/308616245,Hẻm 29/11 Lê Đức Thọ,residential,,,16.5,2 samples,,
way/308616246,Hẻm 496/22 Dương Quảng Hàm,residential,,,7.5,2 samples,,
way/308616248,Hẻm 148 Lê Đức Thọ,residential,asphalt,2,14.33,3 samples,,
way/308616250,Hẻm 234/67 Lê Đức Thọ,residential,,,6.0,2 samples,,
way/308616252,Hẻm 616 Lê Đức Thọ,residential,,,7.67,3 samples,,
way/308616255,Hẻm 140/17 Lê Đức Thọ,residential,,,12.5,2 samples,,
way/308616257,Hẻm 234/63 Lê Đức Thọ,residential,,,6.0,2 samples,,
way/308616258,Hẻm 566/187 Nguyễn Thái Sơn,residential,,,2.85,13 samples,,
way/308616259,Hẻm 496/46 Dương Quảng Hàm,residential,,,6.0,6 samples,,
way/308616260,Hẻm 566/85 Nguyễn Thái Sơn,residential,,,3.5,2 samples,,
way/308616262,Hẻm 116 Dương Quảng Hàm,residential,,,6.09,11 samples,,
way/308616263,Hẻm 192 Nguyễn Oanh,residential,asphalt,,16.25,4 samples,,
way/308616264,Hẻm 32/1 Phạm Huy Thông,residential,,,13.0,2 samples,,
way/308616267,Hẻm 478 Nguyễn Thái Sơn,residential,asphalt,,11.0,3 samples,,
way/308616268,Hẻm 182 Lê Đức Thọ,residential,asphalt,2,11.9,10 samples,,
way/308616269,Hẻm 297 Lê Đức Thọ,residential,asphalt,2,13.5,2 samples,,
way/308616271,Hẻm 566/137 Nguyễn Thái Sơn,residential,,,3.0,2 samples,,
way/308616274,Hẻm 80/25 Dương Quảng Hàm,residential,,,,2 samples,,
way/308616276,Hẻm 67/2 Đường số 5,residential,,,6.0,2 samples,,
way/308616277,Hẻm 616/43 Lê Đức Thọ,residential,asphalt,,10.0,2 samples,,
way/308616278,Hẻm 616/61 Lê Đức Thọ,residential,asphalt,,9.5,6 samples,,
way/308616279,Hẻm 283 Lê Đức Thọ,residential,asphalt,2,13.0,4 samples,,
way/308616280,Hẻm 566/72 Nguyễn Thái Sơn,residential,,,5.0,4 samples,,
way/308616281,Hẻm 566/85 Nguyễn Thái Sơn,residential,,,3.75,4 samples,,
way/308616282,Hẻm 50/2 Đường Dương Quảng Hàm,residential,,,6.4,5 samples,,
way/308616284,Hẻm 67/6 Đường số 5,residential,,,7.33,3 samples,,
way/308616286,Hẻm 616/65 Lê Đức Thọ,residential,,,8.33,3 samples,,
way/308616288,Hẻm 221 Lê Đức Thọ,residential,asphalt,2,13.6,5 samples,,
way/308616290,Dương Quảng Hàm,residential,,,7.67,15 samples,,
way/308616292,Hẻm 36 Lê Thị Hồng,residential,,,16.25,4 samples,,
way/308616294,Hẻm 234/55 Lê Đức Thọ,residential,,,5.0,2 samples,,
way/308616295,Hẻm 28 Lê Thị Hồng,residential,,,16.25,4 samples,,
way/308616298,Hẻm 616/65 Lê Đức Thọ,residential,asphalt,,8.25,4 samples,,
way/308616300,Hẻm 114/75 Dương Quảng Hàm,residential,,,5.0,2 samples,,
way/308616302,Hẻm 566/187 Nguyễn Thái Sơn,residential,,,3.0,6 samples,,
way/308616303,Hẻm 140/57 Lê Đức Thọ,residential,,,12.0,4 samples,,
way/308616305,Hẻm 566/105 Nguyễn Thái Sơn,residential,,,3.17,6 samples,,
way/308616306,Hẻm 125/48 Lê Đức Thọ,residential,asphalt,1,17.67,3 samples,,
way/308616307,Hẻm 498 Đường Nguyễn Thái Sơn,residential,asphalt,,8.8,5 samples,,
way/308616309,Hẻm 616/104 Lê Đức Thọ,residential,,,5.75,4 samples,,
way/308616310,Hẻm 302 Lê Đức Thọ,residential,concrete,,11.0,3 samples,,
way/308616312,Hẻm 508 Nguyễn Thái Sơn,residential,asphalt,,8.5,2 samples,,
way/308616313,Hẻm 80 Dương Quảng Hàm,residential,,,6.11,9 samples,,
way/308616316,Hẻm 234 Lê Đức Thọ,residential,asphalt,2,6.09,11 samples,,
way/308616317,Hẻm 50/15 Dương Quảng Hàm,residential,,,8.67,3 samples,,
way/308616318,Hẻm 272/1 Lê Đức Thọ,residential,,,11.4,5 samples,,
way/308616319,Hẻm 566/187 Nguyễn Thái Sơn,residential,,,3.67,3 samples,,
way/308616325,Hẻm 234/55 Lê Đức Thọ,residential,,,4.67,6 samples,,
way/308616327,Hẻm 350 Lê Đức Thọ,residential,asphalt,2,9.64,11 samples,,
way/308616328,Không tên,residential,,,16.0,3 samples,,
way/308616329,Không tên,residential,,,17.57,7 samples,,
way/308616330,Hẻm 616/46 Lê Đức Thọ,residential,asphalt,,10.0,2 samples,,
way/308616333,Hẻm 80/28 Dương Quảng Hàm,residential,,,6.5,4 samples,,
way/311378706,Phan Văn Trị,secondary,asphalt,2,14.33,3 samples,yes,
way/315635794,Hẻm 537/29/2 Nguyễn Oanh,residential,,,6.33,3 samples,,
way/315635806,Hẻm 1 Nguyễn Văn Dung,residential,,,7.4,5 samples,,
way/315635826,Hẻm 537/14 Nguyễn Oanh,residential,,,3.8,5 samples,,
way/315635827,Hẻm 537/18 Nguyễn Oanh,residential,,,7.0,3 samples,,
way/315635831,Hẻm 640 Nguyễn Oanh,residential,asphalt,,6.33,3 samples,,
way/315635851,Hẻm 537/29 Nguyễn Oanh,residential,,,6.75,4 samples,,
way/317934424,Đường số 6,residential,asphalt,,7.64,11 samples,,
way/317934427,Hẻm 496/93 Dương Quảng Hàm,residential,asphalt,,5.0,2 samples,,
way/317934428,Hẻm 496/9/24 Dương Quảng Hàm,residential,,,6.5,2 samples,,
way/317934429,Hẻm 496/99 Dương Quảng Hàm,residential,asphalt,,5.0,2 samples,,
way/317934430,Hẻm 139 Phạm Huy Thông,residential,,,14.0,2 samples,,
way/317934431,Hẻm 656/68 Quang Trung,residential,,,14.75,8 samples,,
way/317934432,Hẻm 730/7 Lê Đức Thọ,residential,asphalt,,9.33,3 samples,,
way/317934433,Hẻm 496/62 Dương Quảng Hàm,residential,,,6.5,2 samples,,
way/317934434,Hẻm 656/74 Quang Trung,residential,,,14.8,10 samples,,
way/317934435,Hẻm 496/78 Dương Quảng Hàm,residential,asphalt,,6.0,3 samples,,
way/317934436,Hẻm 209/4 Nguyễn Văn Lượng,residential,,,15.0,2 samples,,
way/317934437,Hẻm 736/121 Lê Đức Thọ,residential,asphalt,,7.5,2 samples,,
way/317934439,Hẻm 78/21 Nguyễn Văn Khối,residential,,,13.75,4 samples,,
way/317934440,Hẻm 133 Đường số 8,residential,asphalt,,15.0,9 samples,,
way/317934441,Hẻm 162 Nguyễn Văn Lượng,residential,asphalt,,16.33,3 samples,,
way/317934442,Hẻm 74/9 Đường số 9,residential,asphalt,,15.0,3 samples,,
way/317934443,Hẻm 496/74 Dương Quảng Hàm,residential,asphalt,,6.0,2 samples,,
way/317934444,Hẻm 496/9/34 Dương Quảng Hàm,residential,,,5.5,2 samples,,
way/317934445,Hẻm 209/2 Nguyễn Văn Lượng,residential,,,15.0,2 samples,,
way/317934446,Hẻm 736/149 Lê Đức Thọ,residential,asphalt,,6.0,2 samples,,
way/317934447,Hẻm 736/137 Lê Đức Thọ,residential,asphalt,,7.0,2 samples,,
way/317934448,Hẻm 214 Nguyễn Oanh,residential,asphalt,,15.29,7 samples,,
way/317934449,Hẻm 78/31 Nguyễn Văn Khối,residential,,,13.25,4 samples,,
way/317934450,Hẻm 736/163 Lê Đức Thọ,residential,asphalt,,6.0,2 samples,,
way/317934451,Hẻm 78/60 Nguyễn Văn Khối,residential,,,14.0,2 samples,,
way/317934453,Hẻm 139 Nguyễn Văn Lượng,residential,asphalt,,15.9,10 samples,,
way/317934455,Hẻm 128/34 Lê Đức Thọ,residential,,,13.33,3 samples,,
way/317934457,Hẻm 143 Phạm Huy Thông,residential,,,13.5,4 samples,,
way/317934458,Hẻm 110 Đường Số 8,residential,,,7.67,3 samples,,
way/317934459,Hẻm 191 Phạm Huy Thông,residential,,,11.67,3 samples,,
way/317934460,Hẻm 945 Lê Đức Thọ,residential,concrete,,13.2,5 samples,,
way/317934461,Hẻm 143/2 Phạm Huy Thông,residential,,,12.33,3 samples,,
way/317934462,Hẻm 340/2 Nguyễn Văn Lượng,residential,,,15.2,5 samples,,
way/317934463,Hẻm 209/3 Nguyễn Văn Lượng,residential,,,17.0,5 samples,,
way/317934464,Hẻm 496/1 Dương Quảng Hàm,residential,,,7.33,3 samples,,
way/317934466,Hẻm 496/63/10 Dương Quảng Hàm,residential,,,6.0,3 samples,,
way/317934467,Hẻm 162/17 Nguyễn Văn Lượng,residential,,,15.75,4 samples,,
way/317934468,Hẻm 350/54 Lê Đức Thọ,residential,,,10.0,5 samples,,
way/317934469,Hẻm 14 Đường số 6,residential,asphalt,,9.67,3 samples,,
way/317934471,Hẻm 736 Lê Đức Thọ,residential,asphalt,,6.0,8 samples,,
way/317934473,Hẻm 496/1 Dương Quảng Hàm,residential,,,8.0,5 samples,,
way/317934476,Phạm Huy Thông,residential,asphalt,2,14.89,9 samples,yes,
way/317934477,Hẻm 340 Nguyễn Văn Lượng,residential,asphalt,,14.0,7 samples,,
way/317934478,Hẻm 496/1 Dương Quảng Hàm,residential,,,7.75,4 samples,,
way/317934479,Hẻm 74 Đường số 9,residential,asphalt,,14.5,4 samples,,
way/317934481,Hẻm 128 Lê Đức Thọ,residential,asphalt,2,13.83,6 samples,,
way/317934482,Hẻm 467 Lê Đức Thọ,residential,asphalt,2,14.8,10 samples,,
way/321568858,Hẻm 618/51 Quang Trung,residential,,,15.0,3 samples,,
way/321568865,Hẻm 638 Quang Trung,residential,asphalt,,15.0,15 samples,,
way/321568866,Hẻm 618/13 Quang Trung,residential,,,15.62,8 samples,,
way/322263813,Đường số 3,residential,asphalt,,10.92,12 samples,no,
way/323050256,Không tên,residential,,,3.12,8 samples,,
way/327447675,Hẻm 948/43 Lê Đức Thọ,residential,,,12.0,3 samples,,
way/327447678,Hẻm 564/25 Phạm Văn Chiêu,residential,,,11.33,3 samples,,
way/327447681,Hẻm 1244 Lê Đức Thọ,residential,,,7.5,2 samples,,
way/327447683,Hẻm 1075/2 Lê Đức Thọ,residential,,,9.0,2 samples,,
way/327447689,Hẻm 862/116 Lê Đức Thọ,residential,,,7.71,7 samples,,
way/327447691,Hẻm 1163 Lê Đức Thọ,residential,asphalt,2,7.6,5 samples,,
way/327447695,Hẻm 601 Thống Nhất,residential,asphalt,,13.14,7 samples,,
way/327447697,Hẻm 862/31 Lê Đức Thọ,residential,,,9.2,5 samples,,
way/327447699,Hẻm 945/63 Lê Đức Thọ,residential,,,13.0,2 samples,,
way/327447706,Hẻm 1144 Lê Đức Thọ,residential,asphalt,,10.0,5 samples,,
way/327447710,Hẻm 873 Lê Đức Thọ,residential,asphalt,,13.0,2 samples,,
way/327447727,Hẻm 945/3 Lê Đức Thọ,residential,,,11.5,2 samples,,
way/327447729,Hẻm 152 Đường số 2,residential,,,12.25,4 samples,,
way/327447736,Hẻm 145 Đường số 4,residential,concrete,,11.2,5 samples,,
way/327447748,Hẻm 488 Phạm Văn Chiêu,residential,asphalt,,11.83,12 samples,,
way/327447752,Hẻm 564 Phạm Văn Chiêu,residential,concrete,,10.2,10 samples,,
way/327447755,Hẻm 1264 Lê Đức Thọ,residential,concrete,1,4.25,8 samples,,
way/327447757,Hẻm 884 Lê Đức Thọ,residential,asphalt,,8.5,10 samples,,
way/327452994,Hẻm 1340 Lê Đức Thọ,residential,asphalt,1,6.17,6 samples,,
way/359264425,Hẻm 499/6 Đường Quang Trung,residential,,,16.07,15 samples,,
way/359264428,Hẻm 499/11 Quang Trung,residential,,,16.38,8 samples,,
way/359264430,Hẻm 499 Đường Quang Trung,residential,asphalt,,15.8,10 samples,,
way/359264432,Hẻm 525 Quang Trung,residential,asphalt,,18.0,2 samples,,
way/359264433,Hẻm 76 Thống Nhất,residential,,,17.14,7 samples,,
way/359264500,Hẻm 128 Quang Trung,residential,asphalt,,16.67,3 samples,,
way/359264501,Không tên,primary_link,asphalt,,17.0,2 samples,,
way/359549084,Phan Văn Trị,secondary,asphalt,2,11.42,12 samples,yes,
way/359550390,Đường Nguyễn Văn Nghi,secondary,asphalt,2,16.56,9 samples,,
way/359553334,Hẻm 354 Phan Văn Trị,residential,,,11.33,3 samples,,
way/377269905,Không tên,primary_link,asphalt,1,17.75,8 samples,yes,
way/389711239,Hẻm 2 Nguyễn Văn Công,residential,,,12.8,5 samples,,
way/399152053,Quang Trung,primary,,,7.67,3 samples,yes,
way/399152054,Quang Trung,primary,,,9.0,3 samples,yes,
way/405425600,Nguyễn Thái Sơn,secondary,asphalt,2,9.0,12 samples,yes,
way/408215607,Nguyễn Văn Lượng,tertiary,asphalt,2,18.0,4 samples,yes,
way/408215611,Nguyễn Oanh,primary,asphalt,2,15.67,3 samples,yes,
way/408266406,Hẻm 123 Đường số 5,residential,,,6.25,4 samples,,
way/408272028,Đường Số 1,residential,asphalt,2,13.22,9 samples,,
way/408272030,Hẻm 266 Đường Số 8,residential,asphalt,,14.33,6 samples,,
way/408288558,Lê Đức Thọ,tertiary,asphalt,2,17.0,7 samples,,
way/408760426,Nguyễn Văn Khối,tertiary,asphalt,,14.79,14 samples,,
way/408779194,Hẻm 258 Dương Quảng Hàm,residential,asphalt,2,8.33,3 samples,,
way/408787669,Thống Nhất,secondary,asphalt,2,14.22,9 samples,,
way/408788372,Hẻm 730 Lê Đức Thọ,residential,asphalt,2,9.2,15 samples,,
way/408817476,Hẻm 364 Dương Quảng Hàm,residential,asphalt,2,7.82,11 samples,,
way/409015731,Đường số 9,residential,asphalt,2,12.25,12 samples,no,
way/440901673,Hẻm 66 Đường số 21,residential,concrete,,12.0,2 samples,,
way/444848390,Hẻm 380 Phạm Văn Chiêu,residential,asphalt,,9.36,14 samples,,40
way/444848391,Hẻm 198 Đường số 3,residential,,,9.83,6 samples,,
way/444848392,Hẻm 130 Đường số 9,residential,asphalt,,11.0,4 samples,,
way/444850826,Hẻm 934 Lê Đức Thọ,residential,asphalt,,10.88,8 samples,,
way/444851202,Hẻm 948 Lê Đức Thọ,residential,,,9.5,6 samples,,
way/444987758,Hẻm 796/17 Lê Đức Thọ,residential,,,,3 samples,,
way/444987759,Hẻm 796/17 Lê Đức Thọ,residential,,,,7 samples,,
way/444987760,Hẻm 796/15 Lê Đức Thọ,residential,,,,4 samples,,
way/445888060,Hẻm 628 Phan Văn Trị,residential,asphalt,,,4 samples,,
way/446047306,Hẻm 50/2 Đường Quang Trung,residential,,,,4 samples,,
way/446047307,Hẻm 41/33 Nguyễn Oanh,residential,,,,2 samples,,
way/446052459,Hẻm 41/18 Đường Nguyễn Oanh,residential,,,,5 samples,,
way/446052461,Hẻm 41/34 Đường Nguyễn Oanh,residential,,,,5 samples,,
way/446052463,Hẻm 41/50 Nguyễn Oanh,residential,,,,5 samples,,
way/446052465,Hẻm 106 Quang Trung,residential,asphalt,,,3 samples,,
way/446052471,Hẻm 590 Phan Văn Trị,residential,asphalt,,,5 samples,,
way/446052474,Không tên,residential,asphalt,,,5 samples,yes,
way/446052475,Không tên,residential,asphalt,,,4 samples,yes,
